Time(s),CH1V
1.380000e-04,3.015933e-01
1.400000e-04,3.013667e-01
1.420000e-04,3.012467e-01
1.440000e-04,3.010200e-01
1.460000e-04,3.020600e-01
1.480000e-04,3.012467e-01
1.500000e-04,3.020600e-01
1.520000e-04,3.018267e-01
1.540000e-04,3.017133e-01
1.560000e-04,3.006733e-01
1.580000e-04,3.014800e-01
1.600000e-04,3.012467e-01
1.620000e-04,3.017133e-01
1.640000e-04,3.012467e-01
1.660000e-04,3.013667e-01
1.680000e-04,3.002133e-01
1.700000e-04,3.017133e-01
1.720000e-04,3.010200e-01
1.740000e-04,3.014800e-01
1.760000e-04,3.010200e-01
1.780000e-04,3.015933e-01
1.800000e-04,3.012467e-01
1.820000e-04,3.018267e-01
1.840000e-04,3.015933e-01
1.860000e-04,3.018267e-01
1.880000e-04,3.013667e-01
1.900000e-04,3.013667e-01
1.920000e-04,3.010200e-01
1.940000e-04,3.018267e-01
1.960000e-04,3.006733e-01
1.980000e-04,3.015933e-01
2.000000e-04,3.009067e-01
2.020000e-04,3.014800e-01
2.040000e-04,3.005600e-01
2.060000e-04,3.017133e-01
2.080000e-04,3.006733e-01
2.100000e-04,3.012467e-01
2.120000e-04,3.006733e-01
2.140000e-04,3.017133e-01
2.160000e-04,3.014800e-01
2.180000e-04,3.022867e-01
2.200000e-04,3.013667e-01
2.220000e-04,3.024067e-01
2.240000e-04,3.014800e-01
2.260000e-04,3.024067e-01
2.280000e-04,3.013667e-01
2.300000e-04,3.015933e-01
2.320000e-04,3.015933e-01
2.340000e-04,3.020600e-01
2.360000e-04,3.010200e-01
2.380000e-04,3.017133e-01
2.400000e-04,3.007867e-01
2.420000e-04,3.011333e-01
2.440000e-04,3.007867e-01
2.460000e-04,3.011333e-01
2.480000e-04,3.011333e-01
2.500000e-04,3.014800e-01
2.520000e-04,3.011333e-01
2.540000e-04,3.020600e-01
2.560000e-04,3.015933e-01
2.580000e-04,3.020600e-01
2.600000e-04,3.011333e-01
2.620000e-04,3.015933e-01
2.640000e-04,3.013667e-01
2.660000e-04,3.014800e-01
2.680000e-04,3.012467e-01
2.700000e-04,3.017133e-01
2.720000e-04,3.015933e-01
2.740000e-04,3.017133e-01
2.760000e-04,3.009067e-01
2.780000e-04,3.019400e-01
2.800000e-04,3.010200e-01
2.820000e-04,3.013667e-01
2.840000e-04,3.012467e-01
2.860000e-04,3.018267e-01
2.880000e-04,3.010200e-01
2.900000e-04,3.017133e-01
2.920000e-04,3.013667e-01
2.940000e-04,3.018267e-01
2.960000e-04,3.013667e-01
2.980000e-04,3.020600e-01
3.000000e-04,3.013667e-01
3.020000e-04,3.015933e-01
3.040000e-04,3.009067e-01
3.060000e-04,3.015933e-01
3.080000e-04,3.006733e-01
3.100000e-04,3.017133e-01
3.120000e-04,3.014800e-01
3.140000e-04,3.011333e-01
3.160000e-04,3.011333e-01
3.180000e-04,3.017133e-01
3.200000e-04,3.015933e-01
3.220000e-04,3.020600e-01
3.240000e-04,3.013667e-01
3.260000e-04,3.020600e-01
3.280000e-04,3.019400e-01
3.300000e-04,3.021733e-01
3.320000e-04,3.019400e-01
3.340000e-04,3.018267e-01
3.360000e-04,3.013667e-01
3.380000e-04,3.012467e-01
3.400000e-04,3.013667e-01
