Time(s),CH1V,CH2V,CH3V,CH4V
-5.360000e-04,3.010467e-01,1.140000e-03,3.733333e-04,2.000000e-05
-5.340000e-04,3.020867e-01,4.400000e-04,-8.666667e-05,2.466667e-04
-5.320000e-04,3.010467e-01,5.600000e-04,1.293333e-03,4.800000e-04
-5.300000e-04,3.022067e-01,7.933333e-04,1.400000e-04,2.466667e-04
-5.280000e-04,3.009333e-01,3.266667e-04,1.400000e-04,1.333333e-04
-5.260000e-04,3.018600e-01,4.400000e-04,7.200000e-04,1.513333e-03
-5.240000e-04,3.010467e-01,3.266667e-04,2.666667e-05,-9.333334e-05
-5.220000e-04,3.019733e-01,7.933333e-04,7.200000e-04,3.600000e-04
-5.200000e-04,3.017400e-01,1.140000e-03,2.600000e-04,3.600000e-04
-5.180000e-04,3.015133e-01,4.400000e-04,7.200000e-04,2.466667e-04
-5.160000e-04,3.010467e-01,1.373333e-03,-7.800000e-04,-2.133333e-04
-5.140000e-04,3.015133e-01,5.600000e-04,4.866667e-04,-9.333334e-05
-5.120000e-04,3.008200e-01,9.066667e-04,7.200000e-04,-3.266667e-04
-5.100000e-04,3.019733e-01,7.933333e-04,7.200000e-04,-4.400000e-04
-5.080000e-04,3.016267e-01,7.933333e-04,6.000000e-04,2.000000e-05
-5.060000e-04,3.012800e-01,9.066667e-04,1.400000e-04,-9.000000e-04
-5.040000e-04,3.019733e-01,1.020000e-03,2.666667e-05,4.800000e-04
-5.020000e-04,3.020867e-01,4.400000e-04,8.333334e-04,3.600000e-04
-5.000000e-04,1.781333e-01,7.933333e-04,4.866667e-04,2.466667e-04
-4.980000e-04,4.552000e-02,3.266667e-04,4.866667e-04,-3.266667e-04
-4.960000e-04,1.135333e-02,6.733334e-04,1.400000e-04,2.000000e-05
-4.940000e-04,4.200000e-03,4.400000e-04,1.060000e-03,-2.133333e-04
-4.920000e-04,2.006667e-03,9.066667e-04,2.600000e-04,-2.133333e-04
-4.900000e-04,1.426667e-03,7.933333e-04,1.060000e-03,3.600000e-04
-4.880000e-04,8.533333e-04,7.933333e-04,3.733333e-04,-9.333334e-05
-4.860000e-04,1.546667e-03,1.140000e-03,8.333334e-04,4.800000e-04
-4.840000e-04,1.426667e-03,7.933333e-04,1.400000e-04,2.466667e-04
-4.820000e-04,1.080000e-03,5.600000e-04,7.200000e-04,2.000000e-05
-4.800000e-04,2.733333e-04,5.600000e-04,-8.666667e-05,1.333333e-04
-4.780000e-04,1.773333e-03,6.733334e-04,8.333334e-04,4.800000e-04
-4.760000e-04,7.333333e-04,5.600000e-04,1.400000e-04,-9.333334e-05
-4.740000e-04,1.080000e-03,5.600000e-04,7.200000e-04,2.466667e-04
-4.720000e-04,2.733333e-04,1.020000e-03,3.733333e-04,2.466667e-04
-4.700000e-04,9.666667e-04,7.933333e-04,1.180000e-03,4.800000e-04
-4.680000e-04,3.866667e-04,5.600000e-04,1.060000e-03,2.466667e-04
-4.660000e-04,7.333333e-04,6.733334e-04,7.200000e-04,3.600000e-04
-4.640000e-04,7.333333e-04,7.933333e-04,1.400000e-04,1.333333e-04
-4.620000e-04,1.200000e-03,5.600000e-04,8.333334e-04,5.933333e-04
-4.600000e-04,5.066667e-04,5.600000e-04,3.733333e-04,2.000000e-05
-4.580000e-04,8.533333e-04,3.266667e-04,7.200000e-04,-1.126667e-03
-4.560000e-04,5.066667e-04,1.140000e-03,3.733333e-04,-9.333334e-05
-4.540000e-04,1.200000e-03,2.133333e-04,1.060000e-03,3.600000e-04
-4.520000e-04,5.066667e-04,1.140000e-03,4.866667e-04,2.000000e-05
